update,agent_steps,elapsed_s,steps_per_s,mean_return,mean_score,mean_length,mean_grazes,mean_progress,best_score,policy_loss,value_loss,entropy
232,954368,837.7,1139.3,293.68,24227.2,3035.8,356.3,1.0,30880.0,-0.0038,8.4374,2.3403
233,958464,841.2,1139.4,293.68,24227.2,3035.8,356.3,1.0,30880.0,-0.0052,1.5252,2.4067
234,962560,845.0,1139.2,293.68,24227.2,3035.8,356.3,1.0,30880.0,-0.0081,1.0662,2.4021
235,966656,848.6,1139.1,293.68,24227.2,3035.8,356.3,1.0,30880.0,-0.002,1.8632,2.3859
236,970752,852.5,1138.7,293.97,24265.2,3033.6,355.4,1.0,30880.0,0.002,4.3286,2.3863
237,974848,856.3,1138.5,293.97,24265.2,3033.6,355.4,1.0,30880.0,-0.0069,1.0563,2.4139
238,978944,859.9,1138.4,293.97,24265.2,3033.6,355.4,1.0,30880.0,-0.0073,1.8117,2.3966
239,983040,863.6,1138.3,293.97,24265.2,3033.6,355.4,1.0,30880.0,-0.0036,1.2771,2.3426
240,987136,867.3,1138.2,293.97,24265.2,3033.6,355.4,1.0,30880.0,-0.0034,1.2611,2.329
241,991232,871.1,1137.9,293.97,24265.2,3033.6,355.4,1.0,30880.0,-0.0074,1.1953,2.3644
242,995328,874.8,1137.7,293.97,24265.2,3033.6,355.4,1.0,30880.0,-0.011,2.0269,2.3693
243,999424,878.5,1137.6,294.11,24256.8,3028.0,353.9,1.0,30880.0,-0.0028,4.8373,2.2735
